ID;Nome;Região;Estado;IDH_2010;PIB_2018;Rodovia;Km;Lat.;Long.;Comprimento;Largura;Gestora;Tipo;Norma;N. de vãos;Superestrutura;Material Super;Encontro;Ano;Classe;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;VMD;X_SIRGAS2000;Y_SIRGAS2000;Litoral_Dist;VMD_Truck
000001;Ponte sobre o Rio Juruá;North;AC;0.663;4.14;BR-307;189+310;-7.6426833;-72.666567;550.8;19.7;DNIT;Federal Public;DNIT;;Estaiada;Steel;Not Informed;;;;;;;;;;;;;;;4;;976.6592254999998;-3439380.6258529676;8986123.160014769;2826276.0020752503;363.3135949999999
000002;Ponte sobre o Igarapé Bagaço;North;AC;0.663;4.14;BR-317;48+490;-9.943266667;-67.490233333;29.5;10.95;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;339.3555805;-2752007.138383265;8751866.28037196;2321355.3849492064;63.06114999999997
000003;Ponte sobre o Igarapé Barra;North;AC;0.663;4.14;BR-317;274+600;-10.97;-68.617933333;50;10;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;254.186405;-2878888.4312606878;8609051.345406266;2506277.4906049143;107.325433
000004;Ponte sobre o Igarapé Entroncamento;North;AC;0.663;4.14;BR-317;286+410;-11.028016667;-68.697233333;31.1;10.15;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;254.186405;-2887955.660423227;8600674.87584191;2518492.1836387;107.325433
000005;Ponte sobre o Rio Acre;North;AC;0.663;4.14;BR-317;292+780;-11.017483333;-68.743933333;113.4;7.4;DNIT;Federal Public;DNIT;;Not Informed;Timber;Not Informed;;;;;;;;;;;;;;4;;4;254.186405;-2893911.195836304;8601365.96823299;2523015.711122698;107.325433
000006;Ponte sobre o Igarapé São Pedro;North;AC;0.663;4.14;BR-317;399+290;-10.898766667;-69.522266667;55;10.55;DNIT;Federal Public;DNIT;;Box Girder;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;;-2992814.265588997;8605623.808163358;2602938.6546030403;
000007;Ponte sobre o Igarapé do Grande;North;AC;0.663;4.14;BR-317;402+640;-10.9172;-69.54615;29.8;10.6;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;;-2995548.4590198705;8602949.081674734;2606689.2614283105;
000008;Ponte sobre o Rio Acre;North;AC;0.663;4.14;BR-317;407+360;-10.940283333;-69.57685;241;16.9;DNIT;Federal Public;DNIT;;Box Girder;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;;;-2999071.20481528;8599586.556946803;2611476.236523873;
000009;Ponte sobre o Igarapé Salão;North;AC;0.663;4.14;BR-364;2+960;-8.8273;-69.29755;42;9.9;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;;4;;477.525458;-2991022.437813541;8871644.162107345;2466370.398930818;214.434526
000010;Ponte sobre o Igarapé Salão;North;AC;0.663;4.14;BR-364;4+890;-8.8284667;-69.282017;42;9.9;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;;4;;477.525458;-2989044.6648916123;8871672.300793303;2464609.277607029;214.434526
000011;Ponte Sobre o Rio Riozinho;North;AC;0.663;4.14;BR-364;33+600;-9.938316667;-67.033166667;59.6;9.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;695.1870489999999;-2695617.9916757755;8757730.951275686;2271138.513934774;296.4372915
000012;Ponte sobre o Rio Iquiri;North;AC;0.663;4.14;BR-364;94+200;-10.0792;-67.543383333;120;9.8;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;695.1870489999999;-2756977.7475806377;8734275.522083249;2335191.100557155;296.4372915
000013;Ponte Sobre o Rio Forquilha;North;AC;0.663;4.14;BR-364;113+800;-10.01345;-67.6939;40;9.9;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;598.8809145;-2776398.407379738;8740712.625751248;2347871.3454750725;264.686544
000014;Ponte sobre o Rio Judia;North;AC;0.663;4.14;BR-364;123+000;-10.01155;-67.787783333;92.12;19.15;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;598.8809145;-2788060.4765254217;8739838.364571868;2358118.5267057857;264.686544
000015;Ponte Sobre o Rio Acre;North;AC;0.663;4.14;BR-364;131+000;-10.0121;-67.842616667;198.18;20.09;DNIT;Federal Public;DNIT;;Estaiada;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;915.649833;-2794856.476200381;8739117.709898628;2364211.076099741;349.4121944999999
000016;Ponte sobre o Igarapé São Francisco (LE);North;AC;0.663;4.14;BR-364;141+210;-9.937866667;-67.880233333;36.9;9.95;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;1721.813224;-2800415.084638831;8747966.533059338;2364084.9510461516;142.9103560000001
000017;Ponte sobre o Igarapé São Francisco (LD);North;AC;0.663;4.14;BR-364;141+210;-9.937783333;-67.880166667;27.5;9.8;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;3;1721.813224;-2800407.801775127;8747977.760088712;2364072.757060232;142.9103560000001
000018;Ponte Sobre o Igarapé Mapinguari;North;AC;0.663;4.14;BR-364;170+390;-9.762616667;-68.063666667;40;9.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2825306.6958281184;8767773.508450214;2374521.471863472;101.148002
000019;Ponte sobre o Rio Andirá;North;AC;0.663;4.14;BR-364;178+790;-9.72265;-68.12875;60.6;9.95;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2833885.2844047043;8772025.961054202;2379560.6911903587;101.148002
000020;Ponte sobre o Igarapé Marizinho;North;AC;0.663;4.14;BR-364;196+670;-9.611583333;-68.245533333;22.4;8.4;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2849757.8761255327;8784613.656166695;2386500.95810686;101.148002
000021;Ponte sobre o Igarapé Marizinho;North;AC;0.663;4.14;BR-364;196+670;-9.611583333;-68.245533333;22.4;8.4;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;;407.546449;-2849757.8761255327;8784613.656166695;2386500.95810686;101.148002
000022;Ponte sobre o Igarapé do Fumaça;North;AC;0.663;4.14;BR-364;202+370;-9.573116667;-68.280283333;14.4;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2854547.737599665;8789045.421244994;2388297.320375419;101.148002
000023;Ponte Sobre Igarapé Patos;North;AC;0.663;4.14;BR-364;211+500;-9.511533333;-68.335883333;13.2;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2862214.418702417;8796146.472978048;2391202.9677638398;101.148002
000024;Ponte sobre o Rio Antimari;North;AC;0.663;4.14;BR-364;214+800;-9.4893;-68.355933333;56.3;8.76;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;3;;4;407.546449;-2864980.1559039457;8798712.12791845;2392259.4772267626;101.148002
000025;Ponte Sobre Igarapé Taquari;North;AC;0.663;4.14;BR-364;218+720;-9.462966667;-68.3797;19;7.35;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2868258.835572324;8801751.858420156;2393519.9277382325;101.148002
000026;Ponte Sobre Igarapé Sem Nome;North;AC;0.663;4.14;BR-364;222+760;-9.43575;-68.404166667;26.2;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;3;;4;407.546449;-2871635.9135597157;8804896.02018624;2394819.5111489245;101.148002
000027;Ponte Sobre o Rio Cassirian;North;AC;0.663;4.14;BR-364;243+100;-9.278416667;-68.495283333;39.5;8.95;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2884864.5694580604;8823675.26255973;2396742.457297921;101.148002
000028;Ponte sobre o Igarapé Limeira;North;AC;0.663;4.14;BR-364;252+930;-9.203716667;-68.542483333;41.1;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2891637.8652549437;8832558.520008238;2398175.581099123;101.148002
000029;Ponte Sobre o Igarapé Brejo Seco;North;AC;0.663;4.14;BR-364;255+530;-9.184983333;-68.556766667;17;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2893643.221171183;8834759.735606175;2398822.4794341056;101.148002
000030;Ponte sobre o Igarapé Seringueira;North;AC;0.663;4.14;BR-364;258+490;-9.163466667;-68.572833333;26.4;8.85;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;407.546449;-2895904.1751818787;8837292.57474576;2399530.774162048;101.148002
000031;Ponte sobre o Rio Iaco;North;AC;0.663;4.14;BR-364;272+510;-9.081183333;-68.660833333;180;9.3;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;3;;3;407.546449;-2907886.2447119346;8846685.47523856;2405332.9478361052;101.148002
000032;Ponte sobre o Rio Caeté;North;AC;0.663;4.14;BR-364;282+120;-9.062066667;-68.745483333;202.6;12.9;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;4;;4;478.599264;-2918738.338749314;8848143.09362263;2414088.1114767212;127.0644335
000033;Ponte sobre o Rio Purus;North;AC;0.663;4.14;BR-364;343+670;-8.889816667;-69.273533333;474.4;12.06;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;4;;4;478.599264;-2987269.2261556117;8863969.728817798;2466657.1236100113;127.0644335
000034;Ponte sobre o Rio Macapá;North;AC;0.663;4.14;BR-364;370+700;-8.75485;-69.474616667;90;9.85;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;508.2642075;-3014268.6640070947;8878851.804028787;2483606.227216438;138.9624985
000035;Ponte sobre o Rio Jurutipari;North;AC;0.663;4.14;BR-364;411+710;-8.592866667;-69.810916667;120;9.85;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;4;;4;508.2642075;-3058827.016738407;8895700.144379871;2515608.6918091574;138.9624985
000036;Ponte sobre o Igarapé Jurupari;North;AC;0.663;4.14;BR-364;425+600;-8.552316667;-69.930783333;240.5;9.85;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;3;;3;508.2642075;-3074553.503320397;8899524.496289063;2527965.553627104;138.9624985
000037;Ponte sobre o Igarapé Maracaju;North;AC;0.663;4.14;BR-364;432+710;-8.531233333;-69.991816667;90;9.9;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;595.2415475;-3082574.324626909;8901529.405318152;2534260.273736214;171.1240060000001
000038;Ponte sobre o Igarapé Pensão;North;AC;0.663;4.14;BR-364;455+920;-8.438283333;-70.171766667;60.3;9.7;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;1;595.2415475;-3106607.7398332288;8911399.512714487;2551500.535979089;171.1240060000001
000039;Ponte sobre o Igarapé Macipira;North;AC;0.663;4.14;BR-364;457+700;-8.422833333;-70.176416667;119.6;9.85;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;595.2415475;-3107378.3198708748;8913329.683760453;2551352.1132488735;171.1240060000001
000040;Ponte sobre o Igarapé Ciência;North;AC;0.663;4.14;BR-364;488+380;-8.19735;-70.3424;55.34;9.1;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;595.2415475;-3131168.4154035924;8940433.51719164;2561188.846582844;171.1240060000001
000041;Ponte sobre o Igarapé Diabinho;North;AC;0.663;4.14;BR-364;491+900;-8.178216667;-70.367366667;80.9;12.3;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;4;;4;623.5448985;-3134582.490679135;8942616.479617711;2563359.3333576554;181.0023845
000042;Ponte sobre o Rio Envira;North;AC;0.663;4.14;BR-364;494+490;-8.167666667;-70.388;300;14.4;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;4;;4;623.5448985;-3137345.8210767508;8943744.08125995;2565388.8719413737;181.0023845
000043;Ponte sobre o Igarapé Cardoso;North;AC;0.663;4.14;BR-364;498+230;-8.158766667;-70.419933333;79.8;9.75;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;623.5448985;-3141540.7251856015;8944533.730606781;2568861.168753093;181.0023845
000044;Ponte sobre o Igarapé Acaraú;North;AC;0.663;4.14;BR-364;516+800;-8.18875;-70.576;39.6;9.8;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;623.5448985;-3161236.758039471;8938921.42819057;2589092.582293629;181.0023845
000045;Ponte sobre o Rio Esperança;North;AC;0.663;4.14;BR-364;522+300;-8.18175;-70.632183333;66.6;9.8;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;623.5448985;-3168535.4226048277;8939190.21193819;2595607.155757513;181.0023845
000046;Ponte sobre o Rio Extrema;North;AC;0.663;4.14;BR-364;526+860;-8.172216667;-70.6726;39.6;9.9;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;623.5448985;-3173839.7198531535;8939963.607038897;2600102.9288495975;181.0023845
000047;Ponte sobre o Rio Tarauacá;North;AC;0.663;4.14;BR-364;535+500;-8.151916667;-70.745716667;302;14;DNIT;Federal Public;DNIT;;Beam;Composite;Not Informed;;;;;;;;;;;;;;4;;4;623.5448985;-3183476.536602837;8941757.460534237;2608117.670753413;181.0023845
000048;Ponte sobre o Igarapé Piraja ;North;AC;0.663;4.14;BR-364;544+590;-8.138166667;-70.824633333;42.6;9.8;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3193794.122187281;8942639.88580593;2617141.3275056444;197.3160399999999
000049;Ponte sobre o Igarapé Samaúma;North;AC;0.663;4.14;BR-364;573+490;-8.090733333;-71.079166667;54.4;8.8;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;3;674.327559;-3227170.4355277675;8945882.137677915;2646240.558531548;197.3160399999999
000050;Ponte sobre o Igarapé Diedé;North;AC;0.663;4.14;BR-364;581+260;-8.077883333;-71.148383333;51.4;8.8;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3236262.957921251;8946756.896205291;2654189.4926438816;197.3160399999999
000051;Ponte sobre o Rio Acurauá;North;AC;0.663;4.14;BR-364;584+370;-8.07275;-71.176133333;120.1;8.8;DNIT;Federal Public;DNIT;;Box Girder;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;3;;3;674.327559;-3239910.1120295925;8947105.137420263;2657381.1474752026;197.3160399999999
000052;Ponte sobre o Rio Gregório;North;AC;0.663;4.14;BR-364;620+900;-7.95405;-71.4809;199.6;9.85;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3280761.963801628;8959041.433348713;2690018.1958987582;197.3160399999999
000053;Ponte sobre o Rio Tauari;North;AC;0.663;4.14;BR-364;632+320;-7.922183333;-71.57765;139.4;9.9;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3293694.8024367103;8962083.21342225;2700698.010178422;197.3160399999999
000054;Ponte sobre o Rio Boto;North;AC;0.663;4.14;BR-364;658+360;-7.8504;-71.8028;60.17;10;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3323822.083870353;8968865.209860645;2725783.4380185455;197.3160399999999
000055;Ponte sobre o Rio São João;North;AC;0.663;4.14;BR-364;669+100;-7.830033333;-71.8977;74.8;9.8;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3336430.9044576394;8970435.356513444;2736805.856533924;197.3160399999999
000056;Ponte sobre o Rio Liberdade;North;AC;0.663;4.14;BR-364;682+870;-7.80005;-72.020433333;158.8;9.8;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3352801.201643507;8972943.96166439;2750958.335656413;197.3160399999999
000057;Ponte sobre o Rio Vai e Vem;North;AC;0.663;4.14;BR-364;689+960;-7.787366667;-72.082866667;35;8.85;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3361108.1148869046;8973884.103574377;2758276.936813048;197.3160399999999
000058;Ponte sobre o Rio Campinas;North;AC;0.663;4.14;BR-364;707+990;-7.769616667;-72.245033333;74.8;8.8;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3382536.7205518973;8974330.938852085;2777931.001331411;197.3160399999999
000059;Ponte sobre o Igarapé Santa Luzia;North;AC;0.663;4.14;BR-364;723+240;-7.752733333;-72.381466667;26.4;8.84;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;4;674.327559;-3400619.199831192;8974958.156788016;2794442.3647608845;197.3160399999999
000060;Ponte sobre o Igarapé Lagoinha;North;AC;0.663;4.14;BR-364;736+000;-7.740216667;-72.4953;74.5;8.75;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;3;;-3415710.12768051;8975271.673613701;2808315.5025823554;
000061;Ponte sobre o Igarapé Crôa;North;AC;0.663;4.14;BR-364;741+510;-7.73405;-72.544766667;75.3;8.65;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;3;;-3422282.8200396984;8975502.75359919;2814326.469437649;
000062;Ponte sobre o Igarapé Cigana;North;AC;0.663;4.14;BR-364;743+200;-7.732416667;-72.558316667;25.8;10.1;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;;3;;-3424083.2379527004;8975558.600583915;2815976.2359351874;
000063;Ponte sobre Igarapé Mariana;North;AC;0.663;4.14;BR-364;807+700;-7.681616667;-72.807533333;25;10.1;DNIT;Federal Public;DNIT;;Box Girder;Reinforced Concrete;Not Informed;;;;;;;;;;4;;;;;;;;-3457495.591836888;8979322.236667588;2845622.655640837;
000064;Ponte sobre o Rio Preto;North;AC;0.663;4.14;BR-364;809+900;-7.6623;-72.81325;33.6;15.5;DNIT;Federal Public;DNIT;;Box Girder;Reinforced Concrete;Not Informed;;;;;;;;;;4;;;;;;;;-3458478.3717389414;8981807.951273063;2845624.333991799;
000065;Ponte sobre o Rio Camaragibe;Northeast;AL;0.631;14.71;BR-101;24+430;-9.052666667;-35.713483333;96;8.5;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;1;4;;3306.0514125;861372.7233291413;8997689.608712582;47132.771412707996;1398.185497
000066;Ponte sobre o Rio Camaragibe Mirim (LE);Northeast;AL;0.631;14.71;BR-101;37+780;-9.146183333;-35.768733333;80.7;14;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;3321.436803;855198.9704549583;8987389.314971251;45588.46909374041;1398.144249
000067;Ponte sobre o Rio Camaragibe Mirim (LD);Northeast;AL;0.631;14.71;BR-101;37+790;-9.146216667;-35.7691;104.9;13.65;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;4;;3321.436803;855158.5903627456;8987385.98606471;45618.08268726485;1398.144249
000068;Pontilhão sobre o Rio Jitituba (LD);Northeast;AL;0.631;14.71;BR-101;54+340;-9.25695;-35.774916667;6.3;17.3;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;3335.690201;854408.0623179572;8975130.628886227;38606.88505378981;1408.6197075
000069;Pontilhão sobre o Rio Jitituba (LE);Northeast;AL;0.631;14.71;BR-101;54+340;-9.257033333;-35.774783333;6;10.65;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;2;2;;3335.690201;854422.6456869869;8975121.268757923;38589.639930124686;1408.6197075
000070;Viaduto km 70,55;Northeast;AL;0.631;14.71;BR-101;70+550;-9.368483333;-35.8327;104.7;13;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;4;;3335.690201;847941.3657449137;8962838.661229355;36057.28766937682;1408.6197075
000071;Passagem Inferior km 71,20 (LE);Northeast;AL;0.631;14.71;BR-101;71+200;-9.372266667;-35.829216667;7.8;17.25;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;6483.685497500001;848320.618923382;8962416.312763587;35497.85226903269;1848.733146000001
000072;Passagem Inferior km 71,20 (LD);Northeast;AL;0.631;14.71;BR-101;71+200;-9.3724;-35.829333333;7.8;17.25;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;6483.685497500001;848307.6571298589;8962401.665672503;35498.937544745;1848.733146000001
000073;Viaduto sobre RFFSA;Northeast;AL;0.631;14.71;BR-101;78+540;-9.4482;-35.859533333;33;10;DNIT;Federal Public;DNIT;;Not Informed;Not Informed;Not Informed;;;;;;;;;4;;;;;;;;6483.685497500001;844911.6182440609;8954039.014541263;32977.134523588706;1848.733146000001
000074;Ponte sobre o Rio Mundaú;Northeast;AL;0.631;14.71;BR-101;78+660;-9.448516667;-35.86065;151.6;10;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;4;;;;;;;;6483.685497500001;844788.5440785467;8954005.059081528;33052.62856141418;1848.733146000001
000075;Viaduto km 79,16 (LD);Northeast;AL;0.631;14.71;BR-101;79+160;-9.4412;-35.837533333;80.5;7.6;DNIT;Federal Public;DNIT;;Not Informed;Not Informed;Not Informed;;;;;;;;;;;;;;4;4;;6483.685497500001;847337.1955815979;8954792.201106982;31541.359823634;1848.733146000001
000076;Viaduto km 79,14 (LE);Northeast;AL;0.631;14.71;BR-101;79+140;-9.441083333;-35.83745;80.5;7.6;DNIT;Federal Public;DNIT;;Not Informed;Not Informed;Not Informed;;;;;;;;;;;;;;4;4;;6483.685497500001;847346.4740772522;8954805.035549695;31542.039987719378;1848.733146000001
000077;Viaduto km 80,30 (LE);Northeast;AL;0.631;14.71;BR-101;80+300;-9.44695;-35.845533333;10.5;12.5;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;1316.3586505;846451.942046353;8954163.521591213;31845.969969969483;855.3195494999999
000078;Viaduto km 80,30 (LD);Northeast;AL;0.631;14.71;BR-101;80+300;-9.446783333;-35.84555;10.5;12.5;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;1316.3586505;846450.276687662;8954181.991555996;31858.730317070498;855.3195494999999
000079;Ponte sobre o Rio Mundaú (LE);Northeast;AL;0.631;14.71;BR-101;81+870;-9.4482;-35.859633333;284;11.3;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;3;3;;1316.3586505;844900.6249450571;8954039.11355436;32985.82010954026;855.3195494999999
000080;Ponte sobre o Rio Mundaú (LD);Northeast;AL;0.631;14.71;BR-101;81+860;-9.448016667;-35.859583333;292;13.2;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;4;;1316.3586505;844906.3044137488;8954059.362440597;32993.92165121676;855.3195494999999
000081;Viaduto sobre RFFSA (LD);Northeast;AL;0.631;14.71;BR-101;85+800;-9.47075;-35.879966667;74.5;11.3;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;2;4;;1316.3586505;842642.9747267261;8951562.518725136;32863.19408679818;855.3195494999999
000082;Viaduto sobre RFFSA (LE);Northeast;AL;0.631;14.71;BR-101;85+800;-9.4708;-35.87985;76;13.3;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;4;4;;1316.3586505;842655.7495471393;8951556.867858626;32850.21514823891;855.3195494999999
000083;Viaduto km 88,00 (LE);Northeast;AL;0.631;14.71;BR-101;88+000;-9.48325;-35.893566667;10.8;12.2;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;1653.376283;841135.6541145344;8950191.955314934;32939.94966784497;792.5734639999998
000084;Viaduto km 88,00 (LD);Northeast;AL;0.631;14.71;BR-101;88+000;-9.483133333;-35.89365;10.8;12.2;DNIT;Federal Public;DNIT;;Slab;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;1653.376283;841126.6097805137;8950204.954057118;32955.56312936457;792.5734639999998
000085;Ponte sobre o Rio Uruba;Northeast;AL;0.631;14.71;BR-101;96+210;-9.528416667;-35.946816667;24.8;10;DNIT;Federal Public;DNIT;;Not Informed;Not Informed;Not Informed;;;;;;;;;;;;;;2;4;;1653.376283;835238.5908392596;8945243.427788941;33535.481175111636;792.5734639999998
000086;Ponte sobre o Rio Satuba (LD);Northeast;AL;0.631;14.71;BR-101;96+830;-9.533016667;-35.950016667;51;10;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;3;4;;1653.376283;834882.4225855895;8944737.264966385;33423.448740654916;792.5734639999998
000087;Ponte sobre o Rio Satuba (LE);Northeast;AL;0.631;14.71;BR-101;96+820;-9.533;-35.94985;75;13.7;DNIT;Federal Public;DNIT;;Beam;Reinforced Concrete;Not Informed;;;;;;;;;;;;;;4;4;;1653.376283;834900.7550544934;8944738.948534187;33411.81545217589;792.5734639999998
000088;Ponte sobre o Rio Uruba (LE);Northeast;AL;0.631;14.71;BR-101;96+710;-9.5285833;-35.946783;40;14;DNIT;Federal Public;DNIT;;Beam;Prestressed Concrete;Not Informed;;;;;;;;;;;;;;;4;;1653.376283;835242.1279051203;8945224.947115611;33519.80948125175;792.5734639999998
